station,lat,lon
S1,24.355825 ,124.138167 
S2,24.345486 ,124.158611 
S3,24.536869 ,124.301244 
S4,24.345411 ,124.199044 
S5,24.389192 ,124.208617 
S6,24.447447 ,124.157858 
S7,24.459264 ,124.138822 
S8,24.440836 ,124.104606 
S9,24.354367 ,124.239014 
S10,24.346258 ,124.148989 
S11,24.453731 ,124.248289 
S12,24.342519 ,124.163836 
S13,24.393650 ,124.161208 
S14,24.497556 ,124.236381 
S15,24.338961 ,124.172019 
S16,24.586161 ,124.310314 
S17,24.453564 ,124.201425 
S18,24.410625 ,124.197803 
S19,24.355767 ,124.222981 
S20,24.331211 ,124.166372 
S21,24.328861 ,124.086542 
D1,24.348483 ,124.159656 
D2,24.338056 ,124.191314 
D3,24.336214 ,124.191917 
D4,24.445839 ,124.125636 
D5,24.402125 ,124.242078 
D6,24.334644 ,124.160928 
D7,24.394806 ,124.156692 
D8,24.330806 ,124.082817 
